,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
106,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,49680,51.75,480,0.0_12.0
107,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,49680,51.75,480,0.0_12.0
108,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,49680,51.75,480,0.0_12.0
109,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,49680,51.75,480,0.0_12.0
110,0.0,,,,,,61.0,,,,,0,note_on,,95.0,61.0,95.0,49680,51.75,480,0.0_12.0
111,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,49680,51.75,480,0.0_12.0
112,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,49680,51.75,480,0.0_12.0
113,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,49680,51.75,480,0.0_12.0
114,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,49680,51.75,480,0.0_12.0
115,0.0,,,,,,57.0,,,,,210,note_on,,95.0,57.0,95.0,49890,51.96875,480,0.0_12.0
116,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,49890,51.96875,480,0.0_12.0
117,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,49890,51.96875,480,0.0_12.0
118,0.0,,,,,,57.0,,,,,29,note_off,,80.0,57.0,80.0,49919,51.998958333333334,480,0.0_12.0
119,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,49919,51.998958333333334,480,0.0_12.0
120,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,49919,51.998958333333334,480,0.0_12.0
121,0.0,,,,,,64.0,,,,,1,note_off,,80.0,64.0,80.0,49920,52.0,480,0.0_13.0
122,0.0,,,,,,61.0,,,,,0,note_off,,80.0,61.0,80.0,49920,52.0,480,0.0_13.0
123,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,49920,52.0,480,0.0_13.0
124,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,49920,52.0,480,0.0_13.0
