,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
400,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12576,32.75,3.0,6.0,6,F#,180
402,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12672,33.0,3.0,6.0,6,F#,180
403,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,12672,33.0,2.0,11.0,5,F,330
406,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12768,33.25,3.0,6.0,6,F#,180
407,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,12768,33.25,2.0,11.0,5,F,330
410,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12864,33.5,3.0,6.0,6,F#,180
411,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,12864,33.5,3.0,4.0,4,E,120
412,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,12864,33.5,4.0,3.0,9,A,90
416,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12960,33.75,3.0,6.0,6,F#,180
417,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,12960,33.75,4.0,3.0,9,A,90
420,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,13008,33.875,2.0,11.0,5,F,330
422,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,13056,34.0,2.0,11.0,5,F,330
423,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13056,34.0,3.0,6.0,6,F#,180
424,9.0,,,,49.0,,,,,0,note_on,,112.0,49.0,112.0,13056,34.0,4.0,1.0,7,G,30
428,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,13152,34.25,2.0,11.0,5,F,330
429,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13152,34.25,3.0,6.0,6,F#,180
432,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,13248,34.5,3.0,4.0,4,E,120
433,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,13248,34.5,2.0,11.0,5,F,330
434,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13248,34.5,3.0,6.0,6,F#,180
435,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,13248,34.5,4.0,3.0,9,A,90
440,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,13344,34.75,3.0,6.0,6,F#,180
442,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,13440,35.0,2.0,11.0,5,F,330
443,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13440,35.0,3.0,6.0,6,F#,180
446,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,13536,35.25,3.0,6.0,6,F#,180
447,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,13536,35.25,2.0,11.0,5,F,330
450,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,13632,35.5,2.0,11.0,5,F,330
451,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,13632,35.5,3.0,4.0,4,E,120
452,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13632,35.5,3.0,6.0,6,F#,180
453,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,13632,35.5,4.0,3.0,9,A,90
458,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,13728,35.75,4.0,3.0,9,A,90
459,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,13728,35.75,3.0,6.0,6,F#,180
462,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,13776,35.875,2.0,11.0,5,F,330
464,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,13824,36.0,3.0,6.0,6,F#,180
465,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,13824,36.0,2.0,11.0,5,F,330
468,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,13920,36.25,3.0,6.0,6,F#,180
469,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,13920,36.25,2.0,11.0,5,F,330
472,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14016,36.5,3.0,6.0,6,F#,180
473,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,14016,36.5,4.0,3.0,9,A,90
474,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,14016,36.5,2.0,11.0,5,F,330
475,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,14016,36.5,3.0,4.0,4,E,120
480,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14112,36.75,3.0,6.0,6,F#,180
482,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14208,37.0,3.0,6.0,6,F#,180
483,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,14208,37.0,2.0,11.0,5,F,330
486,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14304,37.25,3.0,6.0,6,F#,180
487,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,14304,37.25,2.0,11.0,5,F,330
490,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14400,37.5,3.0,6.0,6,F#,180
491,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,14400,37.5,3.0,4.0,4,E,120
492,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,14400,37.5,4.0,3.0,9,A,90
493,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,14400,37.5,2.0,11.0,5,F,330
498,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,14496,37.75,3.0,6.0,6,F#,180
499,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,14496,37.75,4.0,3.0,9,A,90
502,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,14544,37.875,2.0,11.0,5,F,330
