,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
285,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,64260,267.75,5.0,7.0,1,C#,210
287,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,64380,268.25,5.0,7.0,1,C#,210
289,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,64440,268.5,5.0,9.0,3,D#,270
291,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,64560,269.0,5.0,9.0,3,D#,270
293,0.0,,,,,,,71.0,,,,0,note_on,,100.0,71.0,100.0,64620,269.25,5.0,11.0,5,F,330
295,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,64740,269.75,5.0,7.0,1,C#,210
297,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,64800,270.0,6.0,0.0,0,C,0
299,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,64860,270.25,6.0,0.0,0,C,0
301,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,64920,270.5,6.0,0.0,0,C,0
303,0.0,,,,,,,69.0,,,,3,note_on,,100.0,69.0,100.0,65100,271.25,5.0,9.0,3,D#,270
305,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,65160,271.5,6.0,0.0,0,C,0
307,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,65220,271.75,6.0,0.0,0,C,0
309,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,65280,272.0,6.0,2.0,2,D,60
311,0.0,,,,,,,72.0,,,,67,note_on,,100.0,72.0,100.0,65460,272.75,6.0,0.0,0,C,0
313,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,65520,273.0,6.0,2.0,2,D,60
315,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,65580,273.25,6.0,2.0,2,D,60
317,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,65640,273.5,6.0,2.0,2,D,60
319,0.0,,,,,,,74.0,,,,7,note_on,,100.0,74.0,100.0,65820,274.25,6.0,2.0,2,D,60
321,0.0,,,,,,,76.0,,,,0,note_on,,100.0,76.0,100.0,65880,274.5,6.0,4.0,4,E,120
323,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,66000,275.0,6.0,4.0,4,E,120
325,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,66120,275.5,6.0,4.0,4,E,120
327,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,66180,275.75,6.0,2.0,2,D,60
329,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,66240,276.0,6.0,2.0,2,D,60
331,0.0,,,,,,,72.0,,,,0,note_on,,80.0,72.0,80.0,66300,276.25,6.0,0.0,0,C,0
333,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,66360,276.5,6.0,0.0,0,C,0
335,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,66780,278.25,5.0,4.0,4,E,120
337,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,66900,278.75,5.0,7.0,1,C#,210
339,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,66960,279.0,5.0,9.0,3,D#,270
341,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,67140,279.75,5.0,9.0,3,D#,270
343,0.0,,,,,,,69.0,,,,67,note_on,,100.0,69.0,100.0,67500,281.25,5.0,9.0,3,D#,270
345,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,67620,281.75,5.0,7.0,1,C#,210
347,0.0,,,,,,,64.0,,,,0,note_on,,99.0,64.0,99.0,67680,282.0,5.0,4.0,4,E,120
349,0.0,,,,,,,64.0,,,,7,note_on,,99.0,64.0,99.0,67860,282.75,5.0,4.0,4,E,120
351,0.0,,,,,,,64.0,,,,67,note_on,,100.0,64.0,100.0,68220,284.25,5.0,4.0,4,E,120
353,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,68340,284.75,5.0,7.0,1,C#,210
355,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,68400,285.0,5.0,9.0,3,D#,270
357,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,68580,285.75,5.0,9.0,3,D#,270
359,0.0,,,,,,,69.0,,,,67,note_on,,100.0,69.0,100.0,68940,287.25,5.0,9.0,3,D#,270
361,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,69060,287.75,5.0,7.0,1,C#,210
363,0.0,,,,,,,64.0,,,,0,note_on,,100.0,64.0,100.0,69120,288.0,5.0,4.0,4,E,120
365,0.0,,,,,,,65.0,,,,3,note_on,,100.0,65.0,100.0,69360,289.0,5.0,5.0,11,B,150
367,0.0,,,,,,,64.0,,,,0,note_on,,100.0,64.0,100.0,69420,289.25,5.0,4.0,4,E,120
369,0.0,,,,,,,62.0,,,,0,note_on,,100.0,62.0,100.0,69480,289.5,5.0,2.0,2,D,60
371,0.0,,,,,,,60.0,,,,7,note_on,,100.0,60.0,100.0,69780,290.75,5.0,0.0,0,C,0
373,0.0,,,,,,,60.0,,,,0,note_on,,100.0,60.0,100.0,69840,291.0,5.0,0.0,0,C,0
375,0.0,,,,,,,55.0,,,,660,note_on,,100.0,55.0,100.0,70860,295.25,4.0,7.0,1,C#,210
377,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,70920,295.5,5.0,7.0,1,C#,210
379,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71040,296.0,5.0,7.0,1,C#,210
381,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71100,296.25,5.0,7.0,1,C#,210
383,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71220,296.75,5.0,7.0,1,C#,210
385,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,71280,297.0,5.0,9.0,3,D#,270
387,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,71340,297.25,5.0,9.0,3,D#,270
389,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,71400,297.5,5.0,9.0,3,D#,270
391,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,71580,298.25,5.0,4.0,4,E,120
393,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71640,298.5,5.0,7.0,1,C#,210
395,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71700,298.75,5.0,7.0,1,C#,210
397,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71760,299.0,5.0,7.0,1,C#,210
399,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,71880,299.5,5.0,7.0,1,C#,210
401,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,71940,299.75,5.0,7.0,1,C#,210
403,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72000,300.0,5.0,9.0,3,D#,270
405,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,72120,300.5,5.0,9.0,3,D#,270
407,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72180,300.75,5.0,9.0,3,D#,270
409,0.0,,,,,,,67.0,,,,0,note_on,,80.0,67.0,80.0,72240,301.0,5.0,7.0,1,C#,210
411,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,72300,301.25,5.0,7.0,1,C#,210
413,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72360,301.5,5.0,9.0,3,D#,270
415,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72420,301.75,5.0,9.0,3,D#,270
417,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72600,302.5,5.0,9.0,3,D#,270
419,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72660,302.75,5.0,9.0,3,D#,270
421,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,72720,303.0,5.0,9.0,3,D#,270
423,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,72840,303.5,5.0,7.0,1,C#,210
425,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,72900,303.75,5.0,7.0,1,C#,210
427,0.0,,,,,,,65.0,,,,0,note_on,,100.0,65.0,100.0,72960,304.0,5.0,5.0,11,B,150
429,0.0,,,,,,,67.0,,,,0,note_on,,80.0,67.0,80.0,73020,304.25,5.0,7.0,1,C#,210
431,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,73080,304.5,5.0,7.0,1,C#,210
433,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,73140,304.75,5.0,7.0,1,C#,210
435,0.0,,,,,,,55.0,,,,300,note_on,,100.0,55.0,100.0,73740,307.25,4.0,7.0,1,C#,210
437,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,73800,307.5,5.0,7.0,1,C#,210
439,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,73920,308.0,5.0,7.0,1,C#,210
441,0.0,,,,,,,67.0,,,,0,note_on,,100.0,67.0,100.0,73980,308.25,5.0,7.0,1,C#,210
443,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,74100,308.75,5.0,7.0,1,C#,210
445,0.0,,,,,,,69.0,,,,0,note_on,,100.0,69.0,100.0,74160,309.0,5.0,9.0,3,D#,270
447,0.0,,,,,,,69.0,,,,7,note_on,,100.0,69.0,100.0,74280,309.5,5.0,9.0,3,D#,270
449,0.0,,,,,,,71.0,,,,0,note_on,,100.0,71.0,100.0,74340,309.75,5.0,11.0,5,F,330
451,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,74460,310.25,5.0,7.0,1,C#,210
453,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,74520,310.5,6.0,0.0,0,C,0
455,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,74580,310.75,6.0,0.0,0,C,0
457,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,74640,311.0,6.0,0.0,0,C,0
459,0.0,,,,,,,69.0,,,,3,note_on,,100.0,69.0,100.0,74820,311.75,5.0,9.0,3,D#,270
461,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,74880,312.0,6.0,0.0,0,C,0
463,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,74940,312.25,6.0,0.0,0,C,0
465,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75000,312.5,6.0,2.0,2,D,60
467,0.0,,,,,,,72.0,,,,67,note_on,,100.0,72.0,100.0,75180,313.25,6.0,0.0,0,C,0
469,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75240,313.5,6.0,2.0,2,D,60
471,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75300,313.75,6.0,2.0,2,D,60
